Formula,kappa,PF
Ca0.98Bi0.02Mn0.98Nb0.02O3.0,2.513,0.0000492
Ca0.96Bi0.04Mn0.96Nb0.04O3.0,2.268,0.0000938
Ca1.0Mn0.98Nb0.02O3.0,2.5,0.000162
Ca1.0Gd0.96Mn0.04O3.0,1.787,0.000177
Ca1.0Gd0.94Mn0.06O3.0,2.85,0.0000748
Ca0.9Tb0.1Mn1.0O3.0,1.484,0.0000976
Ca0.7Tb0.3Mn1.0O3.0,2.17,0.0000353
Ca0.9Ho0.1Mn1.0O3.0,1.637,0.0000775
Ca0.7Ho0.3Mn1.0O3.0,2.144,0.0000373
Ca0.9Y0.1Mn1.0O3.0,1.489,0.000114
Ca0.7Y0.3Mn1.0O3.0,1.793,0.0000227
Ca1.0Mn1.0O3.0,3.562,0.00014
Ca1.0Yb0.05Mn0.95O3.0,1.49,0.00013
Ca1.0Yb0.1Mn0.9O3.0,1.725,0.0000715
Ca1.0Yb0.15Mn0.85O3.0,1.645,0.0000435
Sm1.7Ca0.3Mn1.0O3.0,1.1,0.00000194
Sm0.5Ca0.5Mn1.0O3.0,1.9,0.0000111
Ca1.0Mn1.0O3.0,16.23,0.000448
Ca0.9Bi0.1Mn1.0O3.0,3.591,0.000184
Ca1.0Mn1.0O3.0,2.99,0.00000326
In2.0O3.0,9.67,0.00018
In1.998Ge0.002O3.0,9.156,0.000373
In1.994Ge0.006O3.0,9.715,0.000304
In1.985Ge0.015O3.0,9.419,0.000302
In1.94Ge0.06O3.0,8.868,0.000288
In1.9Ge0.1O3.0,6.847,0.000215
In1.8Ge0.2O3.0,3.238,0.0000953
Sr2.0Ti0.8Nb0.2O4.0,4.37,0.0000603
Sr3.0Ti1.6Nb0.4O7.0,4.96,0.0000967
Sr1.0Ti0.8Nb0.2O3.0,10.42,0.000187
Sr0.9La0.1Ti1.0O3.0,5.88,0.000364
Sr1.0Ti0.8Nb0.2O3.0,7.96,0.0000874
Zn1.0O1.0,48.7,0.0000349
Zn0.995Al0.005O1.0,44.495,0.000422
Zn0.99Al0.01O1.0,44.495,0.00116
Zn0.98Al0.02O1.0,40.29,0.00158
Zn0.95Al0.05O1.0,34.5,0.00232
Sr1.0Nb0.15Ti0.85O3.0,5.88,3.12E-08
Sr0.9Y0.1Ti1.0O3.0,7,0.000975
Ba0.3Sr0.6La0.1Ti1.0O3.0,4.07,0.00137
Zn0.9975Al0.0025O1.0,2.78,0.0000149
Bi2.0Sr2.0Co2.0O8.0,2.185,0.000558
Ca2.0Co2.0O5.0,2.3,0.00124
La1.0Co1.0O3.0,1.879,0.00000197
La0.99Sr0.01Co1.0O3.0,1.807,0.0000994
La0.98Sr0.02Co1.0O3.0,1.8,0.000157
La0.95Sr0.05Co1.0O3.0,1.8,0.000289
La0.8Sr0.2Co1.0O3.0,3.696,0.0000972
Na1.0Co2.0O4.0,19.08,0.00228
Na1.0Co2.0O4.0,1.904,0.000514
Ca3.0Co4.0O9.0,3.51,0.000799
Ca3.0Co4.0O9.0,2,0.000128
Ca2.7Na0.3Co4.0O9.0,2,0.000168
Ca2.7Bi0.3Co4.0O9.0,2,0.000177
Ca2.4Na0.3Bi0.3Co4.0O9.0,2,0.000186
Ba1.0Pb1.0O3.0,3.78,0.000156
Ba0.8Sr0.2Pb1.0O3.0,2.746,0.000129
Ba0.6Sr0.4Pb1.0O3.0,2.306,0.000135
Ba0.4Sr0.6Pb1.0O3.0,2.295,0.000166
W1.0O2.9,3.083,0.0000642
W1.0O2.722,8.177,0.00103
Cu1.0Cr1.0O2.0,6.586,0.00000831
Cu1.0Cr0.99Mg0.01O2.0,6.966,0.00000451
Cu1.0Cr0.98Mg0.02O2.0,7.558,0.00000929
Cu1.0Cr0.97Mg0.03O2.0,7.14,0.0000389
Cu1.0Cr0.96Mg0.04O2.0,9.293,0.0000363
Cu1.0Cr0.95Mg0.05O2.0,9.522,0.0000574
Sr1.0Dy0.08Ti0.92O3.0,4.195,0.0000257
Sr1.0Nd0.17Ti0.83O3.0,6.19,0.0000407
Sr1.0Nd0.2Ti0.8O3.0,5.53,0.0000644
Sr1.0Nd0.24Ti0.76O3.0,5.98,0.0000227
Fe1.96Ti0.04O3.0,7.82,0.0000357
Fe1.94Ti0.06O3.0,6.39,0.0000273
Fe1.96Sn0.04O3.0,6.84,0.0000284
Nd2.0Cu1.0O4.0,29.6,0.0000194
Nd2.0Cu0.98Ni0.02O4.0,9.811,0.000105
Nd2.0Cu0.98Zn0.02O4.0,17.1,0.0000621
Sr0.61Ba0.39Nb2.0O6.0,1.667,0.000302
Sr0.61Ba0.39Nb2.0O6.0,1.667,0.0000329
Sr0.61Ba0.39Nb2.0O6.0,1.667,0.0000782
Sr4.5Nb4.5O15.5,2.45,0.0000317
Sr1.6La0.4Nb2.0O7.0,1.8,0.000229
Ba8.0Ga16.0Ge30.0,1.7,0.000277
Ba8.0Ga16.0Ge30.0,1.52,0.000315
Ba8.0Ga16.0Ge30.0,1.94,0.000378
Tl9.0Bi1.0Te6.0,0.481,0.00102
Ba8.0Au5.14Si39.51,1.86,0.000315
Ba8.0Au5.59Si39.01,1.77,0.000482
Ba8.0Au6.1Si38.97,2.18,0.000347
Sr0.145Ga0.302Ge0.553,0.81,0.000794
Sr0.147Ga0.298Ge0.555,1.216,0.000905
Sr0.146Ga0.285Ge0.569,1.06,0.000845
Ba8.0Ga16.0Ge30.0,2,0.000788
Ba8.0Ga18.0Ge28.0,1.5,0.0000802
Ba7.0Sr1.0Al16.0Si30.0,2.31,0.00012
In0.05Co4.0Sb12.0,2.087,0.00131
In0.1Co4.0Sb12.0,2.188,0.00227
In0.15Co4.0Sb12.0,2.299,0.00325
In0.2Co4.0Sb12.0,2.476,0.00331
In0.25Co4.0Sb12.0,2.559,0.00414
In0.3Co4.0Sb12.0,2.688,0.00297
In0.2Co4.0Sb12.0,2.57,0.00326
Ce1.0Fe3.0Co1.0Sb12.0,1.91,0.00099
Ce1.0Fe3.5Co0.5Sb12.0,2.4,0.000851
Ce1.0Fe4.0Sb12.0,1.55,0.000439
Ce1.0Fe3.0Co1.0Sb12.0,1.37,0.000509
La1.0Fe3.0Co1.0Sb12.0,1.6,0.000715
Ti1.0Ni1.0Sn1.0,7.72,0.000533
Zr1.0Ni1.98Cu0.02Sn1.0,7.98,0.00168
Zr1.0Ni0.76Co0.004Cu0.2Sn1.0,6.02,0.000103
Zr1.0Ni1.0Sn0.98Sb0.02,8.5,0.00214
Zr0.94Y0.06Ni1.0Sn0.96Sb0.04,8.35,0.0011
Nb1.0Co1.0Sn1.0,6.904,0.00116
Nb1.0Co1.05Sn1.0,6.887,0.00194
Nb1.0Co1.1Sn1.0,5.802,0.00154
Ti1.0Ni1.0Sn1.0,6.076,0.000234
Ti0.99Nb0.01Ni1.0Sn1.0,6.893,0.00272
Ti0.98Nb0.02Ni1.0Sn1.0,7.426,0.003
Ti0.95Nb0.05Ni1.0Sn1.0,6.96,0.00264
Zr1.0Ni1.0Sn1.0,10.143,0.000398
Zr0.99Nb0.01Ni1.0Sn1.0,9.676,0.00267
Zr0.98Nb0.02Ni1.0Sn1.0,10.059,0.0028
Zr0.95Nb0.05Ni1.0Sn1.0,8.859,0.00181
Zr0.5Hf0.5Ni1.0Sn1.0,4.087,0.000328
Zr0.4Hf0.4Ti0.2Ni1.0Sn1.0,3.814,0.000394
Zr0.35Hf0.35Ti0.3Ni1.0Sn1.0,3.17,0.00159
Zr0.25Hf0.25Ti0.5Ni1.0Sn1.0,3.063,0.00204
Zr0.15Hf0.15Ti0.7Ni1.0Sn1.0,3.394,0.00132
Zr0.5Hf0.5Ni1.0Sn1.0,3.949,0.000337
Zr0.5Hf0.5Ni1.0Sn1.998Sb0.002,2.887,0.0026
Zr0.5Hf0.5Ni1.0Sn1.994Sb0.006,2.767,0.00382
Yb14.0Mn1.0Sb11.0,0.84,0.000156
Zn4.0Sb3.0,1.01,0.000583
Zn4.0Sb3.0,0.77,0.000646
Zn4.0Sb3.0,0.76,0.000757
Zn4.0Sb3.0,0.783,0.00085
Ca3.0Al1.0Sb3.0,1.45,0.00000227
Ca2.97Na0.03Al1.0Sb3.0,1.67,0.00000826
Ca2.94Na0.06Al1.0Sb3.0,1.65,0.0000113
Ca2.85Na0.15Al1.0Sb3.0,1.59,0.0000461
Ca5.0Al2.0Sb6.0,1.54,0.0000483
Ca4.95Na0.05Al2.0Sb6.0,1.49,0.000112
Ca4.75Na0.25Al2.0Sb6.0,1.45,0.000402
Bi2.0Te3.0,1.468,0.00477
Bi2.0Te3.0,4.017,0.00673
Sb2.0Te3.0,3.378,0.00076
Sb2.0Te3.0,5.205,0.00325
Ag0.15Sb0.15Te1.15Ge0.85,1.499,0.000891
Na0.02Pb1.0Te1.0,3.996,0.00106
Na0.02Pb1.0Te0.85Se0.15,3.014,0.000628
Na0.02Pb1.0Te0.75Se0.25,2.696,0.000675
Tl0.01Pb0.99Te1.0,1.942,0.000719
Tl0.02Pb0.98Te1.0,2.168,0.000775
K2.0Bi8.0Se13.0,1.285,0.000119
Ag1.0Cr1.0Se2.0,0.956,0.000175
Mo3.0Te4.0,3.812,0.00000235
Mo6.0Te7.0S1.0,2.773,0.00000146
Mo6.0Te6.0S2.0,2.125,0.00000463
Cr1.3Mo6.0S8.0,1.938,0.0000909
Mn1.3Mo6.0S8.0,1.432,0.000108
Fe1.3Mo6.0S8.0,1.488,0.0000788
Ni2.0Mo6.0S8.0,1.714,0.0000111
Cu4.0Mo6.0S8.0,1.348,0.000275
Sb0.005I0.015Cs0.995Bi3.98Te5.97,1.5,0.0028
Bi1.2S4.0Ti2.0,2.94,0.000526
Pb1.8S4.0Ti2.0,2.9,0.000561
Sn1.2S4.0Ti2.0,2.66,0.000878
K1.0Bi6.33S10.0,1.3,0.000000379
Tl1.0Ti1.0P1.0S5.0,0.783,1.77E-10
Tl2.0Cu2.0Sn1.0Te4.0,0.377,9.16E-08
Ag9.0Tl1.0Te5.0,0.2,0.0000592
Tl2.0Sn1.0Te5.0,5.09,0.00114
Tl2.0Ge1.0Te5.0,9.07,0.000351
Tl2.0Sn1.0Te5.0,6.75,0.000614
Cu2.0Se1.0,0.97,0.00081
Cu1.98Se1.0,1.25,0.000644
La3.0Te3.8Sb0.2,2.402,0.000382
La3.0Te3.65Sb0.35,2.05,0.000255
La3.0Te3.35Sb0.65,1.47,0.000046
La3.0Te3.35Bi0.65,1.967,0.000071
La2.99Te4.0,2.46,0.000274
La2.74Te4.0,1.24,0.0000623
Pb0.96Sr0.4Te1.0Na0.2,2.85,0.000966
Pb0.98Sr0.2Te1.0Na0.1,3.065,0.00113
Pb0.98Te1.0Na0.2,4.29,0.000983
Si0.79936Ge0.19984B0.0008,4.34,0.00122
Si0.7956Ge0.1989P0.0055,4.139,0.00129
Si0.8Ge0.2,2.449,0.00124
Mg2.0Si0.999Bi0.001,8.52,0.00158
Mg2.0Si0.9985Bi0.0015,7.08,0.0014
Mg2.0Si0.997Bi0.003,6.16,0.0012
Mg2.0Si0.995Bi0.005,6.55,0.00124
Mg2.0Si0.994Bi0.006,6.55,0.00113
Mg2.0Si0.98Bi0.02,7.13,0.000452
Mg2.0Si0.6Ge0.4Bi0.02,2.98,0.000459
Mg2.0Si0.98Ag0.02,7.83,5.45E-08
Mg2.0Si0.6Ge0.4Ag0.02,4.11,0.0000018
Mg2.0Si1.0,4.5,0.000488
Mg1.95Ca0.05Si1.0,5.6,0.00054
Mg1.9Ca0.1Si1.0,5.2,0.000176
Mg2.0Si1.0,7.25,0.0026
Fe0.998Co0.002Si2.0,5.69,0.0000768
Fe0.978Co0.00196Si1.96Y0.04O0.06,4.59,0.0000793
Fe0.978Co0.00196Si1.96Y0.12O0.18,2.86,0.0000189
